"peak","motif_id","tf_name","avg_log2FC","p_val_adj","gene","score","zscore","pvalue"
"chr2-213151305-213152395","MA1723.1","PRDM9",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0259.1","ARNT::HIF1A",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0746.2","SP3",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0848.1","FOXO4",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0047.3","FOXA2",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0813.1","TFAP2B",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA1943.1","ETV2::HOXB13",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0032.2","FOXC1",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA1565.1","TBX18",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0741.1","KLF16",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0504.1","NR2C2",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA1972.1","ZFP14",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0091.1","TAL1::TCF3",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0695.1","ZBTB7C",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0780.1","PAX3",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA1103.2","FOXK2",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA1525.2","NFATC4",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0815.1","TFAP2C",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0155.1","INSM1",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA1511.2","KLF10",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0024.3","E2F1",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA1652.1","ZKSCAN5",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
"chr2-213151305-213152395","MA0616.2","HES2",1.84338837003852,0.0004098570597867,"IKZF2",0.148201420948154,8.00951209534952,5.75822062519079e-16
