"peak","motif_id","tf_name","avg_log2FC","p_val_adj","gene","score","zscore","pvalue"
"chr17-39952363-39953572","MA1529.1","NHLH2",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA0493.2","KLF1",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA1723.1","PRDM9",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA1971.1","ZBED2",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA0595.1","SREBF1",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA1947.1","ETV5::FOXO1",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA0079.5","SP1",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA0685.2","SP4",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA0163.1","PLAG1",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA0073.1","RREB1",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA0732.1","EGR3",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA1516.1","KLF3",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA0673.1","NKX2-8",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA1654.1","ZNF16",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA1933.1","ELK1::SREBF2",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
"chr17-39952363-39953572","MA0750.2","ZBTB7A",1.10009499055779,0.0011859375338305,"THRA",0.0743988459684452,2.92393511345466,0.00172818393538314
