"peak","motif_id","is_bound","tf_name","avg_log2FC","p_val_adj","pwm_score","pwm_threshold","pwm_max"
"chr17-36188760-36189243","MA0030.1",TRUE,"FOXF2",1.43053764052451,0.0031282476012076,8.7781044165886,8.5060421920826,19.2778375491315
"chr1-27435536-27436442","MA0030.1",TRUE,"FOXF2",0.928599762432526,0.0325680071202782,9.89488972193563,8.5060421920826,19.2778375491315
"chr7-131105676-131106546","MA0030.1",TRUE,"FOXF2",0.473485907022706,0.0404063866640595,10.0662703969593,8.5060421920826,19.2778375491315
"chr7-131105676-131106546","MA0031.1",TRUE,"FOXD1",0.473485907022706,0.0404063866640595,11.3660958450255,8.6951237252183,13.7554852435654
"chr21-10271605-10272550","MA0051.1",TRUE,"IRF2",1.38165707667493,9.33256865831281e-08,14.2013788910889,8.05745436628752,25.2483406224791
"chr16-11224090-11225976","MA0051.1",TRUE,"IRF2",0.750786311598279,0.0002438536776656,11.7233590574023,8.05745436628752,25.2483406224791
"chr3-53102681-53102971","MA0051.1",TRUE,"IRF2",1.92671612289,0.0002744648830985,8.05745436628752,8.05745436628752,25.2483406224791
"chr3-52896773-52897806","MA0051.1",TRUE,"IRF2",0.850210640299734,0.0028720698240254,9.99673899863842,8.05745436628752,25.2483406224791
"chr19-44747174-44748883","MA0059.1",TRUE,"MAX::MYC",0.635207015589901,0.0081634442462901,13.9676842613823,13.9676842613823,17.4858994527021
"chr8-143552981-143553934","MA0066.1",TRUE,"PPARG",-12.5218399028562,2.0076294218486e-21,12.7478238826266,12.5840154414693,29.534316688449
"chr16-11224090-11225976","MA0066.1",TRUE,"PPARG",0.750786311598279,0.0002438536776656,0,12.5840154414693,29.534316688449
"chr17-1762752-1763831","MA0066.1",TRUE,"PPARG",1.76741115721058,0.0054625510723953,12.5840154414693,12.5840154414693,29.534316688449
"chr3-141486438-141488040","MA0069.1",TRUE,"PAX6",0.555556333366526,0.0275923395747049,12.5181983987855,11.2620706845632,20.6181067738741
"chr1-27435536-27436442","MA0069.1",TRUE,"PAX6",0.928599762432526,0.0325680071202782,11.2620706845632,11.2620706845632,20.6181067738741
"chr12-128843449-128844309","MA0070.1",TRUE,"PBX1",1.30801723010295,0.0146089060859753,12.4138060413066,8.85593556021579,18.4249149416508
"chr19-13172204-13172815","MA0071.1",TRUE,"RORA",1.38819283501945,0.0136836937665865,12.8990560042321,11.8840508944758,15.7359948043379
"chr12-128843449-128844309","MA0071.1",TRUE,"RORA",1.30801723010295,0.0146089060859753,11.8840508944758,11.8840508944758,15.7359948043379
"chr19-13172204-13172815","MA0072.1",TRUE,"RORA",1.38819283501945,0.0136836937665865,8.65468163190701,7.57899272292447,20.1599078536252
"chr8-8227872-8228698","MA0073.1",TRUE,"RREB1",4.19478473568269,6.26176786003171e-33,15.859147618032,12.2509889124134,27.7569471880138
"chr8-143552981-143553934","MA0073.1",TRUE,"RREB1",-12.5218399028562,2.0076294218486e-21,12.6175393789244,12.2509889124134,27.7569471880138
"chr17-36196445-36197223","MA0073.1",TRUE,"RREB1",2.17210151420436,7.34270397305073e-17,0,12.2509889124134,27.7569471880138
"chr17-36181560-36184106","MA0073.1",TRUE,"RREB1",2.12922383330159,1.74742111395618e-13,23.3967323533521,12.2509889124134,27.7569471880138
"chr16-11224090-11225976","MA0073.1",TRUE,"RREB1",0.750786311598279,0.0002438536776656,18.0200153665207,12.2509889124134,27.7569471880138
"chr6-32189877-32190486","MA0073.1",TRUE,"RREB1",1.16067351521547,0.001293711806265,14.2935470886289,12.2509889124134,27.7569471880138
"chr17-36211794-36212452","MA0073.1",TRUE,"RREB1",2.10065966228161,0.0069606672522662,0,12.2509889124134,27.7569471880138
"chr19-44747174-44748883","MA0073.1",TRUE,"RREB1",0.635207015589901,0.0081634442462901,21.4290982279145,12.2509889124134,27.7569471880138
"chr8-12194541-12195004","MA0073.1",TRUE,"RREB1",-2.90467236143438,0.0103994156582871,12.2509889124134,12.2509889124134,27.7569471880138
"chr10-132421063-132421763","MA0073.1",TRUE,"RREB1",0.692632989848421,0.0151846928247586,13.9699190808912,12.2509889124134,27.7569471880138
"chr10-119103709-119104808","MA0073.1",TRUE,"RREB1",0.691007383966006,0.0178896586130327,13.9815952746972,12.2509889124134,27.7569471880138
"chr13-76884826-76886908","MA0073.1",TRUE,"RREB1",0.509876607083692,0.0237076675695519,21.0231835395205,12.2509889124134,27.7569471880138
"chr3-141486438-141488040","MA0073.1",TRUE,"RREB1",0.555556333366526,0.0275923395747049,23.2582777827903,12.2509889124134,27.7569471880138
"chr1-27435536-27436442","MA0073.1",TRUE,"RREB1",0.928599762432526,0.0325680071202782,25.1435187195362,12.2509889124134,27.7569471880138
"chr7-131105676-131106546","MA0073.1",TRUE,"RREB1",0.473485907022706,0.0404063866640595,14.8787068145594,12.2509889124134,27.7569471880138
