"peak","motif_id","is_bound","tf_name","avg_log2FC","p_val_adj","pwm_score","pwm_threshold","pwm_max"
"chr8-143552981-143553934","MA0066.1",TRUE,"PPARG",-12.3551811737912,2.02644658517602e-09,12.0989829331934,12.0989829331934,29.534316688449
"chr8-143552981-143553934","MA0073.1",TRUE,"RREB1",-12.3551811737912,2.02644658517602e-09,0,NA,27.7569471880138
"chr8-143552981-143553934","MA0101.1",TRUE,"REL",-12.3551811737912,2.02644658517602e-09,0,NA,14.4218113629131
"chr8-143552981-143553934","MA0107.1",TRUE,"RELA",-12.3551811737912,2.02644658517602e-09,13.5964855523323,13.5964855523323,16.8783899905765
"chr8-143552981-143553934","MA0115.1",TRUE,"NR1H2::RXRA",-12.3551811737912,2.02644658517602e-09,7.04772521235741,2.99630663367228,30.8365423557044
"chr8-143552981-143553934","MA0130.1",TRUE,"ZNF354C",-12.3551811737912,2.02644658517602e-09,10.4831210176831,10.4831210176831,9.89085290892481
"chr1-1723942-1724563","MA0130.1",TRUE,"ZNF354C",-3.27168690515048,0.00056564683014152,10.4831210176831,10.4831210176831,9.89085290892481
"chr8-143552981-143553934","MA0149.1",TRUE,"EWSR1-FLI1",-12.3551811737912,2.02644658517602e-09,6.665977987748,6.665977987748,35.178020374238
"chr1-1723942-1724563","MA0138.2",TRUE,"REST",-3.27168690515048,0.00056564683014152,14.626300833451,14.626300833451,33.7439803841572
"chr8-143552981-143553934","MA0159.1",TRUE,"RARA::RXRA",-12.3551811737912,2.02644658517602e-09,0,NA,23.198586389497
"chr8-143552981-143553934","MA0163.1",TRUE,"PLAG1",-12.3551811737912,2.02644658517602e-09,0,NA,23.4805858713288
"chr8-143552981-143553934","MA0488.1",TRUE,"JUN",-12.3551811737912,2.02644658517602e-09,8.31542561073506,8.31542561073506,19.5708575798057
"chr1-1723942-1724563","MA0492.1",TRUE,"JUND",-3.27168690515048,0.00056564683014152,8.05697037984926,8.05697037984926,19.873325664677
"chr8-143552981-143553934","MA0504.1",TRUE,"NR2C2",-12.3551811737912,2.02644658517602e-09,20.6602261654075,20.6602261654075,22.5886693632711
"chr1-1723942-1724563","MA0076.2",TRUE,"ELK4",-3.27168690515048,0.00056564683014152,0,NA,16.856597869061
"chr8-143552981-143553934","MA0599.1",TRUE,"KLF5",-12.3551811737912,2.02644658517602e-09,20.388122759024,20.388122759024,15.5434009547864
"chr1-1723942-1724563","MA0641.1",TRUE,"ELF4",-3.27168690515048,0.00056564683014152,0,NA,20.5692977615951
"chr1-1723942-1724563","MA0645.1",TRUE,"ETV6",-3.27168690515048,0.00056564683014152,14.4542284018094,14.4542284018094,15.9992229562617
"chr1-1723942-1724563","MA0475.2",TRUE,"FLI1",-3.27168690515048,0.00056564683014152,0,NA,16.6176094937131
"chr8-143552981-143553934","MA0646.1",TRUE,"GCM1",-12.3551811737912,2.02644658517602e-09,14.9510453328171,14.9510453328171,17.8838346576059
"chr8-143552981-143553934","MA0648.1",TRUE,"GSC",-12.3551811737912,2.02644658517602e-09,11.4732722727345,11.4732722727345,13.6053495315028
"chr1-1723942-1724563","MA0655.1",TRUE,"JDP2",-3.27168690515048,0.00056564683014152,7.45078664145537,7.45078664145537,16.9450208341542
